experiment,Cost,Function Execution time (Total_workflow_exec_time_E2E),Async. Poller Time (Async_Poller_Time),Quantum Queue Time (Total_Quantum_Queue_Time),Quantum HW/Sim. Exec Time (Total_Quantum_Exectime),Inter-func. Time Excluding Polling (Inter_Function_Time_Excluding_Poller),Inter-func. time (Inter_Function_Time),E2E WF Exec. Time (E2E_WF_Exec_Time),Inter-func. payload size,Quantum Job ID (Job_Ids)
d51-AWS_RH_static_offload,0.00000053323019497795,10.496,0.08,N/A for simulator,N/A for simulator,12.995,13.075,11.809,345140,"994ad14e-cb9c-400a-9a76-a6ce09519903,ec97e582-9134-4c51-826b-dabfa2cc090f"
d51-AWS_RH_dynamic_offload,0.00000000843494830704,108.1,0.879,N/A for simulator,N/A for simulator,12.02,12.899,12.703,180963,"1a69b203-8e1e-45f7-8b06-b3d79caed875,5e5059b1-4f54-4fed-b852-0637b1ed7e1d"
d37-AWS_RH_dynamic_offload,0.00000351093816403351,114.779,0.444,N/A for simulator,N/A for simulator,13.879,14.323,14.016,57564,73670d4c-cc23-42aa-9ed1-936e9fd5da90
d29-AWS_RH_offload,0.00000002581773199425,107.694,0.114,N/A for simulator,N/A for simulator,6.745,6.859,6.859,144931,"0c559a87-978f-4053-b31f-f89c65d033ce,8dd6636f-29ae-4037-ad0e-396246331461"
d51-AWS_RH_offload,0.00000029846543559341,114.731,0.109,N/A for simulator,N/A for simulator,7.806,7.915,7.915,120430,"e04b40bc-a30a-4c08-91bb-937d2cf1d98e,960ecdce-0aba-4fea-a534-93a2629cccbf"
d62-AWS_RH_offload,0.00000003086560382500,108.513,0.113,N/A for simulator,N/A for simulator,7.614,7.727,7.727,142926,"7327094f-65eb-417d-b6ac-37a51bfa5adf,c58cd972-5853-476b-b025-7febbf3abea0"
t6-AWS_RH_offload,0.00000225679880731010,112.399,0.057,N/A for simulator,N/A for simulator,11.546999999999999,11.604,11.604,25001,46db8302-22e3-46ee-82f6-7c24e0e39384
t10-AWS_RH_offload,0.00000065466948153687,109.112,0.075,N/A for simulator,N/A for simulator,8.144,8.219,8.219,40378,f11bf759-b3e0-43db-9bcd-1a661eae1ad0
d29-AWS_Serial_Sim,0.00038668790125053756,301.908,N/A for simulator,N/A for simulator,N/A for simulator,N/A for simulator,121.135,120.797,50227,N/A for simulator
d51-AWS_Serial_Sim,0.00002700078648691826,214.774,N/A for simulator,N/A for simulator,N/A for simulator,N/A for simulator,214.378,214.186,95473,N/A for simulator
d62-AWS_Serial_Sim,0.00002700078648691826,214.774,N/A for simulator,N/A for simulator,N/A for simulator,N/A for simulator,214.378,214.186,95473,N/A for simulator
d51-Az_Serial_Sim,0.00019377684826660154,89.978,N/A for simulator,N/A for simulator,N/A for simulator,N/A for simulator,89.714,89.583,94349,N/A for simulator
d62-Az_Serial_Sim,0.00087756847125244138,402.883,N/A for simulator,N/A for simulator,N/A for simulator,N/A for simulator,402.117,402.005,103173,N/A for simulator
d29-Az_Serial_Sim,0.00005252452410888672,112.31,N/A for simulator,N/A for simulator,N/A for simulator,N/A for simulator,75.167,75.14,49803,N/A for simulator
d51-Az_dynamic_sim,0.00001290216766357422,152.843,N/A for simulator,N/A for simulator,N/A for simulator,N/A for simulator,83.636,83.563,150216,N/A for simulator
d51-AWS_dynamic_sim,0.00035908983560987550,74.894,N/A for simulator,N/A for simulator,N/A for simulator,N/A for simulator,128.737,128.707,188574,N/A for simulator
t10-AWS_dynamic_sim,0.00013391926115209390,60.984,N/A for simulator,N/A for simulator,N/A for simulator,N/A for simulator,52.046,51.739,38760,N/A for simulator
d51-AWS_static_sim,0.00124035029887953514,209.612,N/A for simulator,N/A for simulator,N/A for simulator,N/A for simulator,386.12,197.483,288920,N/A for simulator
d51-Az_static_sim,0.00049239110351562501,161.564,N/A for simulator,N/A for simulator,N/A for simulator,N/A for simulator,186.864,95.539,288542,N/A for simulator
t10-Az_dynamic_sim,0.00002078833569335938,107.904,N/A for simulator,N/A for simulator,N/A for simulator,N/A for simulator,75.118,75.095,31656,N/A for simulator
t6-Az_Serial_Sim,0.00003837784991455078,50.583,N/A for simulator,N/A for simulator,N/A for simulator,N/A for simulator,34.342,34.298,16559,N/A for simulator
t6-Aws_Serial_Sim,0.00034998112802075195,135.015,N/A for simulator,N/A for simulator,N/A for simulator,N/A for simulator,125.17,124.879,18590,N/A for simulator
t10-Aws_Serial_Sim,0.00007675196771006967,114.688,N/A for simulator,N/A for simulator,N/A for simulator,N/A for simulator,112.177,111.998,20175,N/A for simulator
t10-Az_Serial_Sim,0.00007063207092285156,85.733,N/A for simulator,N/A for simulator,N/A for simulator,N/A for simulator,67.304,67.265,21673,N/A for simulator
t16-Aws_Serial_Sim,0.00039262277919896433,703.128,62.154,N/A for simulator,N/A for simulator,124.89000000000001,187.044,186.733,19296,N/A for simulator
